job_add,job_duty,job_name,job_require,job_time,job_type
深圳,负责WEB前端平台的开发和性能监控及优化，推动研发流程与模式的改进，提升研发效能,PCG04-WEB前端开发（深圳）,"本科以上学历，计算机或相关专业，对前端技术有高度热情，至少2年前端开发经验
前端基础知识扎实，熟练掌握CSS，JS，HTML语言
至少熟练掌握一个前端 MVVM 框架（React、Vue 最佳）
拥有良好的面向对象编程思想：能够使用 JS 编写面向对象的代码
了解一门后端开发技术：node.js、php、java 等

加分项：
对前端性能优化和监控、自动化测试有实践经验者优先
深刻理解前端工程化、组件化、模块化的开发模式并实践",2020年07月06日,技术
深圳,"参与腾讯云SaaS千帆-云市场，SAAS生态服务工具的前端开发； 
参与部门前端效能基础组件平台的建设。",25663-云市场前端工程师leader（深圳）,"本科以上学历，计算机相关专业； 
能够熟练运用 HTML、CSS、javascript 构建高性能的web应用程序； 
熟悉原生javascript，熟悉使用jQuery，zepto，react.js等框架及类库； 
要求有后语言使用PHP经验，同时具备c++经验者优先； 
熟悉移动端web开发或hybrid开发模式更佳 理解web标准和兼容性，对可用性相关知识有实际的了解和实践经验； 
熟悉常用WEB开发调试工具；
有使用grunt、gulp、webpack等工具进行前端工程化经验；
熟悉HTTP基本原理，有linux经验优先； 
有工作态度端正，能够积极主动去工作，高效推动项目完成； 
具有良好的逻辑思维及语言表达能沟通力，要能高效配合团队成员，共同完成项目。",2020年07月06日,技术
深圳,"1，负责腾讯医疗健康业务的质量保证工作，通过对技术架构、代码到产品及设计模式的全面理解，发现产品的弱点，定位缺陷并推动修复； 
2，参与到创新医疗高可用系统的稳定性保障工作中，通过对技术架构的深入研究，搭建高效的质量保障工具体系，对其进行相应功能可用性、性能、稳定性等质量保证； 
3，有精益思想，能通过自动化建设、CI/CD流程优化、以及推进质量内建等方式优化研发效率；",CSIG17-创新医疗测试开发高级工程师,"1，计算机或软件相关专业，本科及以上学历，具备扎实的计算机和软件技术基础； 
2，具备扎实的端到端测试经验，能够灵活通过单测/接口测试/性能分析等手段，高效发现系统问题； 
3，三年以上软件开发经验，能熟悉掌握和运用c++/java/go/python/php等高级编程语言； 
4，具有发现问题的灵敏嗅觉，具备针对复杂问题的分析及解决的能力，具备把个性化问题抽象成通用解决方案的能力，能积极推动关联团队协同配合； 
5，具备工程效能系统规划实现的综合能力，在项目管理、配置管理、CI/CD、DevOps、EP度量等一到多个领域有实践及推动经验者优先； 
6，热爱学习，具有自我持续优化的驱动力，有性能瓶颈分析和调优经验者优先；",2020年07月08日,技术
上海,负责游戏营销活动、营销系统以及营销效果分析系统的后台开发工作。,25924-游戏运营开发工程师,"1，高度的责任心、良好的沟通技巧和团队合作精神，正直进取，有上进心，热爱开发事业，热爱游戏尤佳。
2，本科以上学历，计算机软件或相关专业； 3年及以上开发工作经验；
3，软件知识结构全面，基础扎实，精通常用数据结构与算法； 
4，熟悉linux操作系统，熟悉PHP，Python或GoLang；
5，熟悉MYSQL和Redis的使用，熟悉SQL语句，能够快速根据需求完成高性能数据库设计；
6，熟悉主流大数据处理技术，具备使用实时计算框架进行数据流开发经验的优先；
7，具有高并发接入服务开发和海量的日志处理经验优先。",2020年07月13日,技术
西安,"1、进行腾讯云产品安全保障工作，主要包含有产品黑白盒安全测试
2、构建安全自动化检测能力
3、进行云安全技术研究，漏洞挖掘
4、围绕腾讯云体系的安全演习工作
",20354-云安全渗透测试工程师（腾讯云全资子公司）,"1、有渗透测试经验或者产品安全黑盒测试经验
2、有代码审计经验，主要为PHP、Go、NodeJS等语言
3、至少掌握Python或者go开发
4、了解云原生安全、微服务、API安全等云相关安全技术优先
4、有过红蓝对抗等安全演习经验优先
5、有过SRC或者CVE漏洞提交经验优先
6、给云产品进行过安全测试或者挖过漏洞的优先
7、有过产品安全设计、架构评估经验优先
",2020年07月15日,技术
上海,"负责游戏在线营销活动、营销系统的开发、运营；
 负责游戏官方网站建设的各类应用的开发、运营；
 负责游戏运营系统及组件的技术攻坚和维护优化。",25924-运营开发高级工程师（上海）,"本科以上学历，计算机软件或相关专业；
 5年及以上开发工作经验；
 软件知识结构全面，基础扎实，精通常用数据结构与算法；
 熟悉linux操作系统，了解Shell，能熟练使用linux系统下的PHP或C、C++进行编程；
 熟悉MYSQL或其他大型数据库，能够快速根据需求完成高性能数据库设计，有网络系统的开发经验；
 熟悉HTML/JS/CSS等技术，熟悉面向对象开发技术，具有互联网大型Web业务开发经验者优先；
 高度的责任心、出色的技术学习能力，良好的沟通技巧和团队合作精神。",2020年07月16日,技术
深圳,"负责企业发展部相关系统的测试工作，包括移动端和PC端系统；
负责部门自动化测试框架的搭建；
负责相关产品自动化测试水平的提升。",27553-腾讯音乐测试工程师（深圳）,"计算机相关专业本科及以上学历；
3年以上系统测试工作经验，有白盒测试经验，有自动化测试框架开发经验者优先；
具有Web、Android和IOS自动化测试经验，熟悉selenium 、Appium框架，熟练使用Jmeter进行性能测试；
熟悉Linux系统，MySql数据库, 以及TCP/IP, HTTP等网络协议；
熟悉java/C或C++，熟悉shell/python/PHP/perl等一种脚本语言；
熟悉测试流程和规范，了解功能测试，性能测试，接口测试和单元测试等测试方法；
学习能力和技术钻研能力强，良好的质量意识、沟通和团队合作能力；
工作积极主动，执行力强，能够快速解决问题。",2020年04月28日,技术
深圳,"负责QQ音乐、全民K歌业务日常运维工作，主要包括业务扩容、缩容、业务架构评审；
负责业务用户反馈的定位、总结、网络故障处理；
负责根据业务监控指标分析性能瓶颈、架构合理性以及完善运维流程与规范。",TME-腾讯音乐业务运维工程师（深圳）,"本科及以上学历，3年及以上运维相关工作经验，有带项目经验、带业务经验优先；
精通linux 精通shell，python 能编写运维工具，具备python，php搭建运维系统的经验；
熟悉TCP/IP、HTTP、HTTPS等协议，熟悉apache，nginx等常用组建，了解cvm，docker等虚拟化技术；
熟悉CDN架构，业务调度管理经验，具备良好的网络基础的知识；
具备优秀的服务意识、高度责任感及团队合作精神，良好的沟通能力。",2020年07月01日,技术
深圳,"负责搭建运维管理系统、开发运维工具提升运维管理能力；
负责搭建监控管理系统、开发分析工具提升告警发现及处理能力；
负责推动监控、运维工具等问题的总结与优化方案的制定。",TME-腾讯音乐运维中心运营开发工程师（深圳）,"本科及以上学历，3年及以上运维相关开发工作经验，有带项目经验、带业务经验优先；
精通linux 脚本语言shell，python 能编写运维工具；
精通 php/python/go/java/c++(一种或多种)编程语言，有大型系统项目的经验；
熟悉apache、nginx等webserver, 了解kvm，docker，k8s等虚拟化技术；
熟悉数据架构spark, hadoop, storm等或开源项目有贡献者优先；
具备优秀的服务意识、高度责任感及团队合作精神，沟通顺畅，热情开朗，善于总结陈述，具有全局观及前瞻意识。",2020年07月01日,技术
深圳,"负责腾讯音乐集团IT应用系统开发工作，包括但不限于财务、采购、人事、行政、IT基础平台等领域信息化系统的开发和实施落地；
负责相应领域系统的持续优化和日常维护，保障系统的持续优化迭代，以及系统的安全稳定高效运行；
协助进行系统推广、培训、运营等相关落地支持工作。",21527-腾讯音乐企业IT中心Java高级开发工程师,"全日制大学本科及以上学历，计算机相关专业；7年以上应用系统开发经验；
精通Java语言，同时熟悉或实践过Go/PHP等后端语言开发者为佳；
熟悉Linux操作系统，能熟练使用Oracle/MySQL/MongoDB/Redis等数据库，熟悉常用的系统性能分析及优化方法；
主导过完整的系统开发者优先（从系统的需求、设计、架构、实现和运营），重点掌握后端开发，并对常见的前端开发模式了解（如基于Vue的前端开发）；
有激情有进取心，乐于持续学习，抗压性强，良好的沟通能力和合作精神；
对新技术保持好奇心并具有专研精神和创新思维。",2020年07月01日,技术
