job_add,job_duty,job_name,job_require,job_time,job_type
深圳,"分布式大数据系统开发、计算性能调优、 高性能服务框架设计与开发； 
参与项目的架构设计、评审、技术攻坚及优化； 
参与系统文档的撰写、维护。",PCG04-高级大数据开发工程师,"本科以上学历，计算机或相关专业；
3年以上Linux后台开发经验，有大规模系统开发经验；
熟悉Java/go/Python；
熟悉flink/blink/spark streaming等流式数据处理；
具有Hadoop/Spark/Hbase/impala/druid/kylin/clickhouse等分布式计算平台的使用和一定性能优化经验；
熟悉mysql/PG/oracle等数据库使用和一定SQL优化经验；
熟悉常用大数据开源组件；
有高并发、大容量后台服务系统设计经验；
具有良好的学习能力、沟通能力、团队合作意识；
强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长",2020年07月16日,技术
北京,"负责视频素材开放平台运营后台的前端开发；
与后端开发人员和运营人员紧密配合，优化运营后台工作流程和提升运营效率。",WXG01-微信视频剪辑前端开发工程师,"具有扎实的编程功底，良好的设计能力和编程习惯，熟练掌握 Javascript，CSS，HTML5， node.js；
熟悉 Vue.js 框架及各种特性；
具备良好的分析解决问题能力；
具备良好的沟通能力和优秀的团队协作能力。",2020年07月17日,技术
深圳,"1. 负责大数据在线服务的架构设计与开发；
2. 负责异步消息系统和实时特征处理系统的架构设计与开发；
3. 负责机器学习模型在线服务的架构设计与开发；
4. 负责人群画像系统的的架构设计与开发；",29912-大数据后端工程师（深圳）,"1、计算机或相关专业本科以上学历，2年以上工作经验;
2、具备扎实的Java语言编程基础，具备良好的编程习惯，较强独立解决问题的能力；掌握Spring等常用的开发框架；
3、有丰富的工作经验，参与过大型复杂分布式系统的设计、架构者优先；
3、有Hadoop、Spark、Flink、ES、Kafka等框架开发经验者优先；
4、熟悉多线程编程和JVM性能调优，有高并发、高吞吐量服务开发经验者优先；
6、做事严谨踏实，责任心强；具有良好的沟通能力和团队意识；
7、有机器学习模型开发经验者优先；",2020年07月17日,技术
深圳,负责根据金融业务需求的开发实现，架构优化。,18435-金融科技Java开发高级工程师（深圳）,"1.本科及以上学历，3年以上java语言使用经验；
2.熟悉大型互联网IT架构，熟悉spring boot等java框架的使用和原理；
3.熟悉linux或其他unix操作系统，熟练使用shell/python等脚本语言；
4.熟悉SQL语言，有MySQL/PostgreSQL/Oracle的使用经验；
5.有微服务、docker容器、hadoop大数据系统维护使用经验者优先；
6.有较强的沟通能力，有良好的团队协作精神。",2020年06月01日,技术
西安,"1、负责腾讯云 IDaaS 产品的前端架构设计和需求开发工作；
2、负责 IDaaS 相关运营工具的建设。",22989-腾讯云 IDaaS 产品前端开发工程师(腾讯云全资子公司),"1、本科及以上学历，3 年以上相关工作经验；
2、精通 JavaScript、HTML 和 CSS，具备移动 web 开发经验，对前端性能优化和浏览器的行 为机制有一定的理解，有 reactjs/es6 等开发经验者优先考虑；
3、熟悉 TCP/HTTP 的基本原理，熟悉 Linux 操作系统，具备 PHP 或 NodeJS 的开发经验；
4、有强烈的上进心和责任感，具备较强推动力，善于沟通表达，有良好的团队合作精神；
5、对前端开发工作富有激情，能积极学习业界新技术并运用推广。

注:此岗位为腾讯集团旗下全资子公司编制岗位",2020年06月27日,技术
上海,"负责Linux环境下游戏服务器架构设计、游戏业务逻辑开发、监控和数据分析等支撑工具开发；
负责技术方案设计、系统监控与跟踪、问题定位处理；
负责游戏大数据处理和用户行为分析处理。",21229-游戏后台开发（上海）,"本科以上学历，计算机相关专业；
2年以上类Unix下C/C++开发经验，熟练掌握常用数据结构和算法；
熟悉类Unix操作系统原理以及Bash应用；
熟悉MySql/Oracle等关系型数据库, 或者Redis等No-SQL数据库开发和使用；
熟悉TCP/IP，对负载均衡、容灾扩容、高并发有较为深刻的认识；
熟悉设计模式、RPC机制、数据序列化与反序列化以及线程、协程、多进程的使用和原理；
对游戏后台技术充满热忱，愿意积极学习新技术，责任心强，逻辑思维严谨，表达能力强；
需要较强的沟通能力，善于团队协作；
熟悉Java或Scala，有Spark开发经验者优先;熟悉分布式系统、消息中间件者优先。",2020年06月28日,技术
深圳,"负责企业发展部相关系统的测试工作，包括移动端和PC端系统；
负责部门自动化测试框架的搭建；
负责相关产品自动化测试水平的提升。",27553-腾讯音乐测试工程师（深圳）,"计算机相关专业本科及以上学历；
3年以上系统测试工作经验，有白盒测试经验，有自动化测试框架开发经验者优先；
具有Web、Android和IOS自动化测试经验，熟悉selenium 、Appium框架，熟练使用Jmeter进行性能测试；
熟悉Linux系统，MySql数据库, 以及TCP/IP, HTTP等网络协议；
熟悉java/C或C++，熟悉shell/python/PHP/perl等一种脚本语言；
熟悉测试流程和规范，了解功能测试，性能测试，接口测试和单元测试等测试方法；
学习能力和技术钻研能力强，良好的质量意识、沟通和团队合作能力；
工作积极主动，执行力强，能够快速解决问题。",2020年04月28日,技术
深圳,"1、熟悉智慧园区、智慧社区、智慧城市等方向业务，并能对业务架构组成进行需求分析，同时能针对云计算产品规划出云解决方案，针对云上架构进行优化设计；
2、能从网络、服务器、数据中心等不同层面设计传统企业上云的服务架构，能提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；
3、确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；
4、了解行业技术发展变革方向，能针对云服务特点在行业解决方案上有前瞻性布局。",CSIG02-智慧园区行业解决方案架构师（深圳/上海/北京）（深圳）,"1、本科或以上学历，3年以上服务端开发、运维经验，熟悉Java/Scala/Python/PHP/C/C++至少一种开发语言以及对应开发框架，熟悉高并发处理机制，有海量业务的架构、研发、运维、优化经验；
2、有成功的旅游、地产、园区、智慧社区、智慧城市等企业系统的大型应用经验，有面向客户沟通交流、调研需求、宣讲架构的能力；
3、熟悉云计算、物联网、大数据、AI、GIS、互联网应用架构等相关技术，有成功的项目应用经验；
4、熟悉网络架构、虚拟化、分布式存储，深入理解IT基础设施领域，如服务器、网络设备的技术和架构，有IT交付经验优先；
5、熟悉旅游、地产、园区、智慧社区、智慧城市等行业其中一种的相关业务、IT系统架构、上云应用场景；
6、具备团队合作经验，学习能力强，抗压能力强；
7、具备良好的文档能力，善于总结沟通，清晰表达技术观点和架构意图，能熟练的编写技术文档；
8、有一定的项目管理经验，能进行需求管理、期望管理、团队协作管理，有和ISV管理合作经验优先；
9、有PMP认证优先。",2020年06月28日,技术
上海,"1、熟悉智慧园区、智慧社区、智慧城市等方向业务，并能对业务架构组成进行需求分析，同时能针对云计算产品规划出云解决方案，针对云上架构进行优化设计；
2、能从网络、服务器、数据中心等不同层面设计传统企业上云的服务架构，能提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；
3、确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；
4、了解行业技术发展变革方向，能针对云服务特点在行业解决方案上有前瞻性布局。",CSIG02-智慧园区行业解决方案架构师（深圳/上海/北京）（上海）,"1、本科或以上学历，3年以上服务端开发、运维经验，熟悉Java/Scala/Python/PHP/C/C++至少一种开发语言以及对应开发框架，熟悉高并发处理机制，有海量业务的架构、研发、运维、优化经验；
2、有成功的旅游、地产、园区、智慧社区、智慧城市等企业系统的大型应用经验，有面向客户沟通交流、调研需求、宣讲架构的能力；
3、熟悉云计算、物联网、大数据、AI、GIS、互联网应用架构等相关技术，有成功的项目应用经验；
4、熟悉网络架构、虚拟化、分布式存储，深入理解IT基础设施领域，如服务器、网络设备的技术和架构，有IT交付经验优先；
5、熟悉旅游、地产、园区、智慧社区、智慧城市等行业其中一种的相关业务、IT系统架构、上云应用场景；
6、具备团队合作经验，学习能力强，抗压能力强；
7、具备良好的文档能力，善于总结沟通，清晰表达技术观点和架构意图，能熟练的编写技术文档；
8、有一定的项目管理经验，能进行需求管理、期望管理、团队协作管理，有和ISV管理合作经验优先；
9、有PMP认证优先。",2020年06月28日,技术
北京,"1、熟悉智慧园区、智慧社区、智慧城市等方向业务，并能对业务架构组成进行需求分析，同时能针对云计算产品规划出云解决方案，针对云上架构进行优化设计；
2、能从网络、服务器、数据中心等不同层面设计传统企业上云的服务架构，能提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；
3、确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；
4、了解行业技术发展变革方向，能针对云服务特点在行业解决方案上有前瞻性布局。",CSIG02-智慧园区行业解决方案架构师（深圳/上海/北京）（北京）,"1、本科或以上学历，3年以上服务端开发、运维经验，熟悉Java/Scala/Python/PHP/C/C++至少一种开发语言以及对应开发框架，熟悉高并发处理机制，有海量业务的架构、研发、运维、优化经验；
2、有成功的旅游、地产、园区、智慧社区、智慧城市等企业系统的大型应用经验，有面向客户沟通交流、调研需求、宣讲架构的能力；
3、熟悉云计算、物联网、大数据、AI、GIS、互联网应用架构等相关技术，有成功的项目应用经验；
4、熟悉网络架构、虚拟化、分布式存储，深入理解IT基础设施领域，如服务器、网络设备的技术和架构，有IT交付经验优先；
5、熟悉旅游、地产、园区、智慧社区、智慧城市等行业其中一种的相关业务、IT系统架构、上云应用场景；
6、具备团队合作经验，学习能力强，抗压能力强；
7、具备良好的文档能力，善于总结沟通，清晰表达技术观点和架构意图，能熟练的编写技术文档；
8、有一定的项目管理经验，能进行需求管理、期望管理、团队协作管理，有和ISV管理合作经验优先；
9、有PMP认证优先。",2020年06月28日,技术
