job_add,job_duty,job_name,job_require,job_time,job_type
深圳,"负责腾讯计费平台基础支付前端架构设计和开发工作；
参与需求评审、架构设计、编码设计和上线运维； 
负责用户体验优化，包括但不限于：业务流程、前端展示、性能、安全等。

关于我们：我们是腾讯TEG计费平台部。部门主要是负责腾讯所有产品的购买行为的结算平台，提供基础技术支撑以及智慧营销、智能风控等能力，包括QQ、微信、腾讯视频、腾讯云、游戏等，海量数据全部导入和在此平台进行聚合支付。部门目前主要产品包括米大师，腾讯支付和自研分布式数据库TDSQL等多模块，涉及跨境支付、智慧零售、智慧校园、ToB企业服务等场景。",TEG15-腾讯海外计费产品web前端开发工程师（深圳）,"精通HTML/JavaScript/NodeJs等Web前端技术，熟悉CSS；熟悉HTTP(S)、Http2协议；
熟悉常见的Web前端性能以及安全问题；熟练使用常见的前端框架、库类、工程化工具，提升团队工作效率；
掌握至少一门服务端编程语言；
具有良好的学习能力、沟通能力和合作精神。",2020年07月08日,技术
北京,负责微视内容运营管理平台开发、多终端运营开发;,29912-微视增长web前端开发工程师（北京） ,"5年以上前端开发工作经验；
1. 对常见的Web前端框架有深入了解,如jQuery、zepto、Vue、React等；
2. 对浏览器兼容性、前端安全防范、响应式布局、网络协议优化有实践经验； 
3. 对UI组件化开发、响应式、多终端兼容适配、无障碍有一定开发经验；
4. 具备良好的沟通能力和团队协作精神,较强的学习能力和逻辑分析能力；
5. 具有NodeJS开发经验者优先；
6. 熟悉增长黑客(Growth Hacking)，或对此有强烈兴趣者优先。
",2020年07月09日,技术
北京,"1. 负责腾讯新闻用户增长福利平台接入层需求调研和分析； 
2. 负责系统设计，改进系统性能、可扩展性，保障系统的稳定性和安全性； 
3. 开发过程管理，系统框架搭建及核心模块开发。",17757-腾讯新闻后台开发工程师,"1. 本科以上学历，3年以上开发经验，精通Go语言，具有良好的编程习惯；
 2. 熟悉高并发、高可用性、可扩展性系统架构设计；熟悉常用的web组件 
 3. 良好的沟通能力和业务理解能力；
 4.了解容器技术体系和微服务架构； 
 5. 追求挑战 ",2020年07月05日,技术
广州,"负责微信小游戏引擎开发者工具的开发，包括资源可视化编辑和处理、游戏调试和预览、以及配套工具链等工作。为游戏开发提供高效的工作流程。
",WXG03-微信小游戏引擎开发者工具前端开发（广州）,"计算机相关专业本科及以上学历；
热爱编程，有丰富的编码实战经验，有强悍的逻辑性，喜欢追求新技术；
有一定的算法能力，能善于在实际中运用算法解决一些性能问题；
熟练掌握前端开发知识体系，熟悉前端工程的构建、打包、部署，能熟练运用各类前端工具；
熟悉业界常见的框架，能熟练的使用React、Angular、Vue等框架中的一种，并对其原理有过深入理解；

优先考虑：
有Node.js相关开发经验，熟悉webpack等构建工具，能使用Node.js/Shell等技术搭建一套开发流程；
有前端单页应用开发经验；
对 electron、NWJS 以及客户端开发有一定的了解；
有完整游戏项目经验优先；
熟悉大型3D游戏开发流程及游戏引擎开发工具、构建工具；",2020年07月07日,技术
北京,"参与仿真云平台的架构设计与研发工作,  开发与维护web端/数据处理端的核心代码；
深入理解业务, 具有产品思维, 愿意从技术的角度和设计人员不断提升产品体验；
持续提升系统在大规模分布式环境下的稳定性,安全性,性能以及架构, 对技术有追求, 愿意钻研技术；",33370-自动驾驶仿真模拟系统-后台开发,"计算机相关专业本科以上学历，3年以上开发工作经验；
熟悉java，并至少熟悉一门脚本语言（python/shell/go）
熟悉分布式业务系统的设计与开发，2年以上基于Spring、Dubbo、mybatis等主流框架开发经验； 
扎实的编程基础，对各层常用开源的框架有深入的了解，对框架本身有过开发或重构者可优先考虑； 
熟悉MySQL、Redis、HBase等主流数据库的使用；
熟练使用分布式消息队列, 至少熟悉Kafka/RabbitMQ/RocketMQ/AWS SQS中的一种
熟练使用分布式缓存系统, 至少熟悉Memcached/Redis/Ehcache中的一种
熟悉常见大数据基础组件的使用、原理、调优者优先，如Flume、Hadoop、Hbase、Spark、Storm、ELK、ETL；
熟悉k8s相关docker技术的优先；
具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力，责任心强，良好的对外沟通和团队协作能力；",2020年07月08日,技术
深圳,"1、建设PCG数据资产管理平台（欧拉平台），提升PCG数据运营的质量和效率
2、负责欧拉平台系统Web前后端架构/代码层面的专项分析优化，对代码研发质量和系统性能负责。",30359-欧拉-运营开发工程师（深圳）,"1、计算机相关专业本科及以上学历，3年以上java-web开发或测试开发工作经验，精通java技术；
2、扎实的计算机基础，出色的编程能力，精通常用算法和设计模式； 具备丰富的服务端开发及性能调优经验； 熟悉多种互联网协议；
3、具有较强的问题定位和分析能力； 具备创新性思维、较强的抗压能力和良好的沟通能力； 有丰富单元测试经验，有测试驱动开发经验者优先；
4、熟练大数据处理框架（Hadoop/Hive/Spark/Kylin）相关技术；熟悉流式计算引擎，对相关框架(Kafka/Storm/SparkStreaming/Flink)熟悉了解，有实际应用经验优先;",2020年07月10日,技术
深圳,"负责企业发展部相关系统的测试工作，包括移动端和PC端系统；
负责部门自动化测试框架的搭建；
负责相关产品自动化测试水平的提升。",27553-腾讯音乐测试工程师（深圳）,"计算机相关专业本科及以上学历；
3年以上系统测试工作经验，有白盒测试经验，有自动化测试框架开发经验者优先；
具有Web、Android和IOS自动化测试经验，熟悉selenium 、Appium框架，熟练使用Jmeter进行性能测试；
熟悉Linux系统，MySql数据库, 以及TCP/IP, HTTP等网络协议；
熟悉java/C或C++，熟悉shell/python/PHP/perl等一种脚本语言；
熟悉测试流程和规范，了解功能测试，性能测试，接口测试和单元测试等测试方法；
学习能力和技术钻研能力强，良好的质量意识、沟通和团队合作能力；
工作积极主动，执行力强，能够快速解决问题。",2020年04月28日,技术
深圳,"负责音乐全链路数据平台建设，开发和调优业务主体模型，核心指标体系建设，制定数据管理规范，加速数据生产效率，推进数据规范和数据治理；
负责构建音乐通用用户体系，包括多种用户身份标识之间的IDMapping服务、基础用户画像和用户兴趣体系；
通过梳理和抽象，跟进大数据前沿技术的发展，沉淀通用性平台或服务能力。

",TME-腾讯音乐大数据开发工程师,"计算机、数学、统计相关专业本科以上学历，5年以上相关工作经验；
熟悉数据分析、数据挖掘、机器学习、分布式计算至少某一方面，熟练运用各种常用算法和数据结构，有较深的理论研究和实践经验优先；
较强的数据敏感度，能结合业务场景需求完成数据分析和开发，具有数据仓库建设、用户标签建设、用户画像挖掘等相关工作经验优先；
熟悉开源大数据技术栈，能够基于大数据生态构建提出切实可行的项目方案，并有能力维护中大型数据项目，有扎实的编程能力和坚实的工程能力，熟悉python/java/web开发；
具备强烈的技术热情和良好的学习能力、分析问题解决问题能力，善于合作、乐于分享、责任心强。",2020年05月07日,技术
深圳,"负责专项测试的内容和测试工具的开发，如客户端性能、服务端性能、协议和客户端安全等；
负责或参与专项技术深入研究，并产生可在业务落地的测试方法及工具；
负责推动研发团队在专项模块的持续优化，为用户提供更好的产品体验。",TME-腾讯音乐专项测试开发工程师（深圳）,"具备扎实的计算机基础，精通常用算法和结构；
精通C/C++/java 熟悉多进程编程和进程间通讯；
至少熟悉一门脚本开发语言(如shell、perl、python)，有丰富的自动化测试脚本编写经验；
有web前端开发者优先；
责任心强，良好的沟通能力和团队协作能力；
本科以上学历，至少2年开发或测试开发经验。",2020年05月12日,技术
深圳,负责广告业务营销系统与创新形态设计和开发，参与日常的业务需求分析、系统设计和研发工作，支持广告新产品的研发和演进设计。,28096-腾讯音乐商业广告部前端开发工程师（深圳）,"1.计算机或相关专业本科及以上学历，熟悉常用的数据结构和算法，掌握操作系统、计算机网络、软件工程等理论基础。 
2.3年以上相关工作经验，掌握 Javascript/HTML/CSS 等前端开发技术，使用过至少一款当下主流的前端框架 ( react/vuejs/angular 等)。 
3.熟悉常见的 Web 应用系统开发体系及常见的 Web 服务器。
4.具备良好的安全意识，熟悉常见的网络安全攻防策略。
5.较强的沟通能力与团队合作精神，善于分析问题、解决问题并且具有良好的学习能力与分享精神。
6.优秀前端开源项目经历者优先。",2020年06月07日,技术
